"House of Wax","Charles Belden","Jaume Collet-Serra","Elisha Cuthbert"
"The House of Yes","Wendy MacLeod","Mark Waters","Parker Posey"
"House of the Dead","Mark Altman","Uwe Boll","Jonathan Cherry"
"The House of the Spirits"," "," ",""
"House on Haunted Hill","Robb White","William Castle","Vincent Price"
"House on Haunted Hill","Dick Beebe","William Malone","Geoffrey Rush"
"The House on Turk Street"," "," ",""
"How Green Was My Valley","Philip Dunne","John Ford","Walter Pidgeon"
"How High","Dustin Abraham","Jesse Dylan","Method Man"
"How Stella Got Her Groove Back","Ronald Bass","Kevin Sullivan","Angela Bassett"
"How the Grinch Stole Christmas","Jeffrey Price","Ron Howard","Jim Carrey"
"How the West Was Won","John Gay","John Ford","Carroll Baker"
"How to Deal","Neena Beber","Clare Kilner","Mandy Moore"
"How to Kill Your Neighbor's Dog","Michael Kalesniko","Michael Kalesniko","Kenneth Branagh"
"How to Lose a Guy in 10 Days","Michele Alexander","Donald Petrie","Kate Hudson"
"How to Steal a Million","George Bradshaw","William Wyler","Audrey Hepburn"
"Howard the Duck","Steve Gerber","Willard Huyck","Lea Thompson"
"The Howling","Gary Brandner","Joe Dante","Dee Wallace"
"Hsi yen"," "," ",""
"Hud"," Frank","Martin Ritt","Paul Newman"
"Hudson Hawk"," de","Michael Lehmann","Bruce Willis"
"The Hudsucker Proxy","Ethan Coen","Ethan Coen","Tim Robbins"
"Hulk","Michael France","Ang Lee","Eric Bana"
"The Hunchback of Notre Dame","Christine Blum","Gary Trousdale","Jason Alexander"
"The Hunt for Red October","Tom Clancy","John McTiernan","Sean Connery"
"The Hurricane","Armyan Bernstein","Norman Jewison","Denzel Washington"
"Husbands and Wives","Woody Allen","Woody Allen","Nick Metropolis"
"Hush... Hush  Sweet Charlotte"," "," ",""
"The Hustler","Sidney Carroll","Robert Rossen","Paul Newman"
"I Am Sam","Kristine Johnson","Jessie Nelson","Sean Penn"
"I Am a Fugitive from a Chain Gang","Robert Burns","Mervyn LeRoy","Paul Muni"
"I Capture the Castle","Dodie Smith","Tim Fywell","Romola Garai"
"I Come in Peace"," "," ",""
"I Dreamed of Africa","Kuki Gallmann","Hugh Hudson","Kim Basinger"
