"MOV The Blob (1958)","(u'Linaker, Kay', None, None, u' (screenplay)') ","(u'Doughten Jr., Russell S.', None, None, u' (uncredited)') ",,"(u'McQueen, Steve (I)', u'Steve Andrews', 1, u' (as Steven McQueen)') ",
"MOV The Blob (1988)","(u'Darabont, Frank', None, None, u' (screenplay)') ","(u'Russell, Chuck (I)', None, None, None)" ",,"(u'Dillon, Kevin (I)', u'Brian Flagg', 1, None) ",
"MOV Blood Work (2002)","(u'Connelly, Michael (I)', None, None, u' (novel)') ","(u'Eastwood, Clint', None, None, None)" ",,"(u'Eastwood, Clint', u'Terry McCaleb', 1, None) ",
"MOV Blood and Wine (1996)","(u'Cross, Alison (I)', None, None, u' (screenplay)') ","(u'Rafelson, Bob', None, None, None)" ",,"(u'Nicholson, Jack (I)', u'Alex Gates', 1, None) ",
"MOV Bloody Sunday (2002)","(u'Greengrass, Paul', None, None, u' (written by)')" ","(u'Greengrass, Paul', None, None, None)" ",,"(u'Nesbitt, James (I)', u'Ivan Cooper', 1, None) ",
"MOV Blow (2001)","(u'Cassavetes, Nick', None, None, u' (screenplay)') ","(u'Demme, Ted', None, None, None)" ",,"(u'Depp, Johnny', u'George Jung', 1, None) ",
"MOV Blow Out (1981)","(u'De Palma, Brian', None, None, u' (written by)') ","(u'De Palma, Brian', None, None, None)" ",,"(u'Travolta, John (I)', u'Jack Terry', 1, None) ",
"MOV Blowup (1966)","(u'Antonioni, Michelangelo', None, None, u' (screenplay)') ","(u'Antonioni, Michelangelo', None, None, None)" ",,"(u'Redgrave, Vanessa', u'Jane', 1, None) ",
"MOV Blue Crush (2002)","(u'Orlean, Susan', None, None, u' (magazine article "Surf Girls of Maui")') ","(u'Stockwell, John (I)', None, None, None)" ",,"(u'Bosworth, Kate', u'Anne Marie Chadwick', 1, None) ",
"MOV The Blue Lagoon (1980)","(u'Stacpoole, Henry De Vere', None, None, u' (novel)') ","(u'Kleiser, Randal', None, None, None)" ",,"(u'Shields, Brooke', u'Emmeline', 1, None) ",
"MOV Blue Streak (1999)","(u'Berry, Michael (II)', None, None, u' (written by)') ","(u'Mayfield, Les', None, None, None)" ",,"(u'Lawrence, Martin (I)', u'Miles Logan', 1, None) ",
"MOV Blue Velvet (1986)","(u'Lynch, David (I)', None, None, u' (screenplay)')" ","(u'Lynch, David (I)', None, None, None)" ",,"(u'Rossellini, Isabella', u'Dorothy Vallens', 1, None) ",
"MOV Blue in the Face (1995)","(u'Auster, Paul', None, None, u' (characters)') ","(u'Auster, Paul', None, None, None) ",,"(u'Reed, Lou', u'Man with Strange Glasses', 1, None) ",
"MOV Blues Brothers 2000 (1998)","(u'Aykroyd, Dan', None, None, u' (film The Blues Brothers)') ","(u'Landis, John (I)', None, None, None)" ",,"(u'Levine, Walter', u'Same Guard', 1, None) ",
"MOV The Blues Brothers (1980)","(u'Aykroyd, Dan', None, None, u' (written by)') ","(u'Landis, John (I)', None, None, None)" ",,"(u'Belushi, John', u"'Joliet' Jake Blues", 1, u' (as Jake)') ",
"MOV Boat Trip (2002)","(u'Bigelow, William (I)', None, None, u' (written by)') ","(u'Nathan, Mort', None, None, None)" ",,"(u'Gooding Jr., Cuba', u'Jerry Robinson', 1, None) ",
"MOV Body Double (1984)","(u'Avrech, Robert J.', None, None, u' (screenplay)') ","(u'De Palma, Brian', None, None, None)" ",,"(u'Wasson, Craig', u'Jake Scully', 1, None) ",
"MOV Body of Evidence (1993)","(u'Mirman, Brad', None, None, u' (written by)')" ","(u'Edel, Uli', None, None, None)" ",,"(u'Madonna', u'Rebecca Carlson', 1, None) ",
"MOV Bogus (1996)","(u'McCarthy Jr., Francis X.', None, None, u' (story)') ","(u'Jewison, Norman', None, None, None)" ",,"(u'Goldberg, Whoopi', u'Harriet Franklin', 1, None) ",
"MOV Boiler Room (2000)","(u'Younger, Ben', None, None, u' (written by)')" ","(u'Younger, Ben', None, None, None)" ",,"(u'Ribisi, Giovanni', u'Seth Davis', 1, None) ",
"MOV Bon voyage (2003)","(u'Marchand, Gilles', None, None, u' (adaptation)') ","(u'Rappeneau, Jean-Paul', None, None, None)" ",,"(u'Adjani, Isabelle', u'Viviane Denvers', 1, None) ",
