Title,Writer,Director,Actor,Actor.Rating,Director.Rating,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance
'Manos' the Hands of Fate, , ,,3,3,1960s,74,19000,1.6,7996,74.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0
'Til There Was You,Winnie Holzman,Scott Winant,John Plumpis,3,3,1990s,113,23000000,4.8,799,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,PG-13,0,0,1,0,0,1
10 Things I Hate About You,Karen McCullah,Gil Junger,Heath Ledger,1,3,1990s,97,16000000,6.7,19095,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,PG-13,0,0,1,0,0,1
102 Dalmatians,Kristen Buckley,Kevin Lima,Glenn Close,1,3,2000s,100,85000000,4.7,1987,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0
12 Angry Men,Reginald Rose,Sidney Lumet,Martin Balsam,3,1,1950s,96,340000,8.7,29278,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,,0,0,0,1,0,0
13 Going On 30, , ,,3,3,2000s,98,37000000,6.4,7859,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,PG-13,0,0,1,1,0,1
The 13th Warrior,Michael Crichton,Michael Crichton,Antonio Banderas,1,3,1990s,102,85000000,6.1,14344,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,1,0,0,0,0,0
1492: Conquest of Paradise,Rose Bosch,Ridley Scott,Ridley Scott,3,1,1990s,154,47000000,6,3379,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0
15 Minutes,John Herzfeld,John Herzfeld,De,3,3,2000s,120,42000000,6.1,10866,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0
1776,Sherman Edwards,Peter Hunt,William Daniels,3,3,1970s,180,4000000,7.3,1754,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,PG,0,0,0,1,0,0
1900, , ,,3,3,1970s,245,9000000,7.5,2408,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0
1941,Bob Gale,Steven Spielberg,Dan Aykroyd,1,1,1970s,146,35000000,5.6,5536,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,0
